"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
1,27900,150,"Opel","Vectra","4/5",1900,80840,"olej napędowy (diesel)",2005,"czarny-metallic","Niemcy","Nie","manualna"
2,28000,116,"Toyota","Corolla Verso","4/5",2000,166000,"olej napędowy (diesel)",2004,"bialy","Polska","Nie","manualna"
3,25500,150,"Skoda","Superb","4/5",1781,112000,"benzyna+LPG",2002,"bordowy-metallic","Polska","Nie","manualna"
4,29900,109,"Mercedes-Benz","A 180","2/3",1991,42000,"olej napędowy (diesel)",2005,"czerwony","Polska","Nie","manualna"
5,29800,207,"Peugeot","607","4/5",2946,169000,"benzyna",2004,"granatowy-metallic","Francja","Nie","manualna"
6,21400,122,"Opel","Vectra","4/5",1800,160000,"benzyna",2003,"srebrny-metallic","Niemcy","Nie","manualna"
9,12900,90,"Ford","Focus","4/5",1800,160000,"olej napędowy (diesel)",2002,"czarny-metallic","Niemcy","Nie","manualna"
10,15750,101,"Opel","Zafira","4/5",1995,218000,"olej napędowy (diesel)",2001,"srebrny-metallic","Niemcy","Nie","manualna"
11,23900,90,"Toyota","Corolla Verso","4/5",2000,144000,"olej napędowy (diesel)",2002,"zloty-metallic","Niemcy","Nie","manualna"
12,42900,100,"Toyota","Auris","4/5",1329,30000,"benzyna",2009,"srebrny-metallic","Polska","Nie","manualna"
13,24500,101,"Skoda","Octavia","4/5",1896,147700,"olej napędowy (diesel)",2006,"srebrny-metallic","Polska","Nie","manualna"
14,25900,130,"Ford","Mondeo","4/5",1998,113014,"olej napędowy (diesel)",2005,"grafitowy-metallic","Niemcy","Nie","manualna"
15,26000,101,"Volkswagen","Passat","4/5",1989,177000,"olej napędowy (diesel)",2005,"granatowy-metallic","Niemcy","Nie","manualna"
18,52500,163,"Mercedes-Benz","CLK 200","2/3",1800,130000,"benzyna",2005,"czarny-metallic","Niemcy","Nie","automatyczna"
19,145000,232,"Audi","Q7","4/5",3000,94000,"olej napędowy (diesel)",2007,"czarny","Polska","Nie","automatyczna"
20,62900,275,"Audi","A8","4/5",3936,208000,"olej napędowy (diesel)",2003,"srebrny-metallic","Niemcy","Nie","automatyczna"
22,39500,85,"BMW","116","4/5",1596,54050,"benzyna",2005,"czarny-metallic","Niemcy","Nie","manualna"
23,36000,105,"Volkswagen","Jetta","4/5",1896,174000,"olej napędowy (diesel)",2007,"szary-metallic","Niemcy","Nie","manualna"
24,42700,131,"Ford","S-Max","4/5",1997,120776,"olej napędowy (diesel)",2007,"srebrny-metallic","Niemcy","Nie","manualna"
25,19000,77,"Fiat","Punto","2/3",1368,56000,"benzyna",2007,"granatowy","Polska","Nie","manualna"
27,14900,78,"Renault","Megane","4/5",1461,224500,"olej napędowy (diesel)",2005,"szary-metallic","Polska","Nie","manualna"
28,22500,120,"Toyota","Corolla","4/5",2000,190000,"olej napędowy (diesel)",2004,"niebieski","Polska","Nie","manualna"
29,19999,115,"Ford","Focus","4/5",1753,188000,"olej napędowy (diesel)",2006,"srebrny","Polska","Nie","manualna"
32,9900,102,"Skoda","Octavia","4/5",1595,177000,"benzyna",2001,"srebrny-metallic","Polska","Nie","manualna"
35,64900,140,"Ford","Mondeo","4/5",1997,87000,"olej napędowy (diesel)",2008,"czarny-metallic","Polska","Nie","automatyczna"
36,73000,136,"Ford","Kuga","4/5",1997,39000,"olej napędowy (diesel)",2009,"grafitowy-metallic","Polska","Nie","manualna"
37,34900,163,"Audi","A4","4/5",2500,172000,"olej napędowy (diesel)",2003,"czarny-metallic","Niemcy","Nie","automatyczna"
38,14000,75,"Peugeot","206","4/5",1360,65500,"benzyna",2005,"bezowy-metallic","Polska","Nie","manualna"
39,59000,140,"Volkswagen","Passat","4/5",1968,117000,"olej napędowy (diesel)",2008,"bezowy-metallic","Polska","Nie","automatyczna"
40,41500,250,"Mercedes-Benz","S 400","4/5",3996,135000,"olej napędowy (diesel)",2001,"zielony-metallic","Niemcy","Nie","automatyczna"
