"kod";"adres";"miejscowosc";"wojewodztwo";"powiat"
"00-001";"Poczta Warszawa 001, ul. åwiÍtokrzyska 31/33";"Warszawa";"mazowieckie";"Warszawa"
"00-001";"ul. åwiÍtokrzyska 31/33";"Warszawa";"mazowieckie";"Warszawa"
"00-002";"ul. åwiÍtokrzyska od 20 do 22";"Warszawa";"mazowieckie";"Warszawa"
"00-003";"ul. Jasna od 9 do 17";"Warszawa";"mazowieckie";"Warszawa"
"00-004";"ul. Marsza≥kowska od 136 do 138";"Warszawa";"mazowieckie";"Warszawa"
"00-005";"ul. Rysia od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-006";"ul. Szkolna";"Warszawa";"mazowieckie";"Warszawa"
"00-007";"ul. Jasna od 5 do 7";"Warszawa";"mazowieckie";"Warszawa"
"00-008";"ul. Marsza≥kowska od 124 do 134";"Warszawa";"mazowieckie";"Warszawa"
"00-009";"Pl. M≥ynarskiego Emila";"Warszawa";"mazowieckie";"Warszawa"
"00-009";"ul. Moniuszki Stanis≥awa od 6 do ostatniego, od 5 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-010";"ul. Sienkiewicza Henryka od 8 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-011";"ul. Boduena Gabriela Piotra";"Warszawa";"mazowieckie";"Warszawa"
"00-012";"ul. Zgoda od 10 do ostatniego, od 13 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-013";"ul. Jasna od 2 do 12, od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-014";"ul. Moniuszki Stanis≥awa od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-015";"ul. Sienkiewicza Henryka od 2 do 6, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-016";"ul. Marsza≥kowska od 116 do 122";"Warszawa";"mazowieckie";"Warszawa"
"00-017";"ul. Marsza≥kowska od 104 do 114";"Warszawa";"mazowieckie";"Warszawa"
"00-018";"ul. Zgoda od 2 do 8, od 1 do 11";"Warszawa";"mazowieckie";"Warszawa"
"00-019";"ul. Z≥ota od 2 do 8, od 1 do 11";"Warszawa";"mazowieckie";"Warszawa"
"00-020";"ul. Chmielna od 2 do 36";"Warszawa";"mazowieckie";"Warszawa"
"00-020";"ul. Szpitalna od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-021";"ul. Chmielna od 1 do 35";"Warszawa";"mazowieckie";"Warszawa"
"00-022";"ul. Krucza od 51 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-023";"ul. Widok od 2 do ostatniego, od 1 do 17, od 21 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-024";"ul. Aleje Jerozolimskie od 26 do 54";"Warszawa";"mazowieckie";"Warszawa"
"00-025";"ul. Krucza od 50 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-026";"ul. Marsza≥kowska od 100 do 102";"Warszawa";"mazowieckie";"Warszawa"
"00-026";"ul. Widok od 19 do 19";"Warszawa";"mazowieckie";"Warszawa"
"00-027";"ul. Pasaø årÛdmiejski";"Warszawa";"mazowieckie";"Warszawa"
"00-028";"ul. Bracka od 16 do ostatniego, od 15 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-029";"ul. Nowy åwiat od 15 do 39";"Warszawa";"mazowieckie";"Warszawa"
"00-030";"Pl. PowstaÒcÛw Warszawy od 2 do ostatniego, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
