dochod	wydatki	sklepy	mieszkan	ksiegozb	ludoczys	apteki	lekarze	regon	bezrobot	oferty	deficyt
1450,804154	1448,898709	14,087312370	335	4,073206946	0,1863219080	3,078204501	2,5168848570	88,77903924	0,2373114600	1,068213032	1,905445
1252,513605	1214,762629	10,421065080	170	4,322664550	0,5211039240	2,195686321	1,3005218980	72,64343743	0,1932203960	0,349650350	37,750976
1403,615566	1436,520045	9,990713760	100	4,145617855	0,5503378270	1,601075923	1,1687854240	54,58067822	0,3126260850	0,000000000	-32,904479
2729,910622	2131,758050	13,694105460	542	2,819887698	0,6153152590	3,570822807	2,3835242240	78,64737232	0,2006802420	2,046263345	598,152572
1467,745001	1408,267630	13,051278510	154	5,252627013	0,4086903380	3,351536778	2,0634951930	97,30628446	0,1731364470	2,125559857	59,477371
1316,616162	1333,314123	9,424646143	102	3,560393964	0,2366902860	2,252213233	0,7276381210	46,96730826	0,1561996500	0,443655723	-16,697961
2108,569656	2253,045906	15,736153730	312	3,440320894	0,8930867200	3,085520339	3,7026244060	83,87472787	0,1770060170	1,936858416	-144,476250
1386,468392	1496,825679	11,258986390	58	3,288218169	0,1856693010	1,188283524	0,6832630270	83,89281683	0,1857287150	0,000000000	-110,357287
1286,867343	1311,044755	13,900919850	60	4,134224312	0,7492472050	1,856205915	1,3199686510	85,19985150	0,3105226250	0,398512221	-24,177412
1304,053460	1294,415115	7,193517168	409	3,882997010	0,4172167730	1,661153563	1,5167054270	64,52498231	0,1336434150	0,216169477	9,638345
1709,208018	1822,639852	12,802251550	1249	2,595435122	0,9808446740	3,260627070	5,7627293160	117,21782700	0,1159478990	1,657687526	-113,431834
1419,530286	1407,892963	10,876441180	541	3,756052104	0,2375063770	1,972587831	1,6256844540	93,37142468	0,1064245150	0,383484597	11,637323
1266,216841	1271,560733	10,310282680	27	3,098637744	0,4130445370	2,273133189	1,6886132260	68,21023235	0,0971277338	1,337345369	-5,343892
2076,365717	2150,978464	16,195423280	756	3,462001965	0,9472974870	2,695493472	4,7058823530	139,55917450	0,1066629230	1,052964094	-74,612747
1831,636901	1760,039544	11,038481620	100	2,854933103	0,3592458540	2,881169755	1,4946068100	72,31736085	0,1067833540	9,780775717	71,597357
1416,797903	1428,620268	14,067470100	13	5,441422875	0,4476053940	1,344025805	1,1648223650	97,12826486	0,2467631380	0,000000000	-11,822365
1291,119173	1308,391500	12,483323800	214	3,894635030	0,3489517820	2,668191347	1,0386887750	59,60548885	0,1644749380	1,158748552	-17,272327
1379,089728	1399,302789	11,454015050	199	4,032570756	0,3615333440	1,637750141	1,2283126060	68,91857311	0,1181636730	1,732501733	-20,213061
1501,406227	1622,715321	10,151707850	244	4,116517533	0,6658566500	2,725290698	1,4421329940	69,72202035	0,1947220200	3,615581992	-121,309094
1469,574310	1560,282836	10,386522200	74	4,659061848	0,6382439370	1,794647464	1,5478834380	64,96623819	0,2977768800	0,000000000	-90,708526
1393,231302	1399,363933	11,342787890	114	3,620612537	0,5066222060	1,205254911	1,1382963050	65,73995956	0,2209366170	0,484907261	-6,132631
1312,199209	1385,442158	10,794995960	246	4,538270110	0,1902519950	2,129853825	1,5245269480	62,16931217	0,1517576900	0,000000000	-73,242949
1313,303337	1307,825613	12,275294220	76	4,125781351	0,6012092080	1,724360909	1,2070526360	89,93619865	0,2363452170	0,000000000	5,477724
1277,033546	1303,512722	11,927527310	31	4,075292516	0,4049201050	3,241175899	2,2688231290	87,57657278	0,1905811430	0,000000000	-26,479176
1376,153937	1366,304624	7,734199808	65	4,219761109	0,1419767210	1,678031516	1,5865025250	49,42565558	0,2503317930	0,000000000	9,849313
1225,433356	1250,422000	12,904345040	118	3,133180314	0,2088181920	2,135155333	2,0417422870	65,61599231	0,1220508170	0,437349661	-24,988644
1529,433313	1606,216294	11,708090360	432	3,131053615	0,4257034480	1,698465719	0,4642472970	83,56451339	0,1661325940	3,135223555	-76,782981
1810,509678	1926,894763	14,756405590	832	2,895351264	0,9132569510	3,826230280	3,3686880580	124,33375430	0,1142196630	4,357196402	-116,385085
1943,149456	1870,428937	10,134820530	74	2,210197937	0,9907188010	2,172855857	2,7315902200	78,92122880	0,1839167280	1,237693390	72,720519
1470,206947	1507,153799	11,676052780	124	3,269680872	0,4694119370	1,997044374	0,9852085580	74,80928226	0,3162519470	0,000000000	-36,946852
2126,502903	2206,894313	13,397782040	201	2,848516519	0,9968065960	4,209487313	3,0917958540	84,77036521	0,1797305930	5,491842998	-80,391410
1351,429949	1345,703528	9,546632377	104	4,350867964	0,0909852514	1,363804625	1,1494924700	63,06622246	0,2270539870	0,000000000	5,726421
