id	gender	wiek	educ	jobcat	salary	salbegin	jobtime	prevexp	minority
1	Mężczyzna	48	15	Menedżer	57000	27000	98	144	Nie
2	Mężczyzna	42	16	Urzędnik	40200	18750	98	36	Nie
3	Kobieta	71	12	Urzędnik	21450	12000	98	381	Nie
4	Kobieta	53	8	Urzędnik	21900	13200	98	190	Nie
5	Mężczyzna	45	15	Urzędnik	45000	21000	98	138	Nie
6	Mężczyzna	42	15	Urzędnik	32100	13500	98	67	Nie
7	Mężczyzna	44	15	Urzędnik	36000	18750	98	114	Nie
8	Kobieta	34	12	Urzędnik	21900	9750	98	0	Nie
9	Kobieta	54	15	Urzędnik	27900	12750	98	115	Nie
10	Kobieta	54	12	Urzędnik	24000	13500	98	244	Nie
11	Kobieta	50	16	Urzędnik	30300	16500	98	143	Nie
12	Mężczyzna	34	8	Urzędnik	28350	12000	98	26	Tak
13	Mężczyzna	40	15	Urzędnik	27750	14250	98	34	Tak
14	Kobieta	51	15	Urzędnik	35100	16800	98	137	Tak
15	Mężczyzna	38	12	Urzędnik	27300	13500	97	66	Nie
16	Mężczyzna	36	12	Urzędnik	40800	15000	97	24	Nie
17	Mężczyzna	38	15	Urzędnik	46000	14250	97	48	Nie
18	Mężczyzna	44	16	Menedżer	103750	27510	97	70	Nie
19	Mężczyzna	38	12	Urzędnik	42300	14250	97	103	Nie
20	Kobieta	60	12	Urzędnik	26250	11550	97	48	Nie
21	Kobieta	37	16	Urzędnik	38850	15000	97	17	Nie
22	Mężczyzna	60	12	Urzędnik	21750	12750	97	315	Tak
23	Kobieta	35	15	Urzędnik	24000	11100	97	75	Tak
24	Kobieta	67	12	Urzędnik	16950	9000	97	124	Tak
25	Kobieta	58	15	Urzędnik	21150	9000	97	171	Tak
26	Mężczyzna	34	15	Urzędnik	31050	12600	96	14	Nie
27	Mężczyzna	46	19	Menedżer	60375	27480	96	96	Nie
28	Mężczyzna	37	15	Urzędnik	32550	14250	96	43	Nie
29	Mężczyzna	56	19	Menedżer	135000	79980	96	199	Nie
30	Mężczyzna	39	15	Urzędnik	31200	14250	96	54	Nie
31	Mężczyzna	36	12	Urzędnik	36150	14250	96	83	Nie
32	Mężczyzna	46	19	Menedżer	110625	45000	96	120	Nie
33	Mężczyzna	39	15	Urzędnik	42000	15000	96	68	Nie
34	Mężczyzna	51	19	Menedżer	92000	39990	96	175	Nie
35	Mężczyzna	39	17	Menedżer	81250	30000	96	18	Nie
36	Kobieta	37	8	Urzędnik	31350	11250	96	52	Nie
37	Mężczyzna	46	12	Urzędnik	29100	13500	96	113	Tak
38	Mężczyzna	38	15	Urzędnik	31350	15000	96	49	Tak
39	Mężczyzna	40	16	Urzędnik	36000	15000	96	46	Tak
40	Kobieta	67	15	Urzędnik	19200	9000	96	23	Tak
41	Kobieta	39	12	Urzędnik	23550	11550	96	52	Tak
42	Mężczyzna	40	15	Urzędnik	35100	16500	95	90	Nie
43	Mężczyzna	36	12	Urzędnik	23250	14250	95	46	Nie
44	Mężczyzna	37	8	Urzędnik	29250	14250	95	50	Nie
45	Mężczyzna	62	12	Ochroniarz	30750	13500	95	307	Nie
46	Kobieta	60	15	Urzędnik	22350	12750	95	165	Nie
47	Kobieta	62	12	Urzędnik	30000	16500	95	228	Nie
48	Mężczyzna	53	12	Ochroniarz	30750	14100	94	240	Nie
49	Mężczyzna	42	15	Urzędnik	34800	16500	94	93	Nie
50	Mężczyzna	40	16	Menedżer	60000	23730	94	59	Nie
51	Mężczyzna	38	12	Urzędnik	35550	15000	94	48	Nie
52	Mężczyzna	37	15	Urzędnik	45150	15000	94	40	Nie
53	Mężczyzna	46	18	Menedżer	73750	26250	94	56	Nie
54	Mężczyzna	69	12	Urzędnik	25050	13500	94	444	Nie
55	Mężczyzna	40	12	Urzędnik	27000	15000	94	120	Nie
56	Mężczyzna	38	15	Urzędnik	26850	13500	94	5	Nie
57	Mężczyzna	37	15	Urzędnik	33900	15750	94	78	Nie
58	Kobieta	36	15	Urzędnik	26400	13500	94	3	Nie
59	Mężczyzna	39	15	Urzędnik	28050	14250	94	36	Tak
60	Mężczyzna	41	12	Urzędnik	30900	15000	94	102	Tak
61	Mężczyzna	36	8	Urzędnik	22500	9750	94	36	Tak
62	Mężczyzna	38	16	Menedżer	48000	21750	93	22	Nie
63	Mężczyzna	39	17	Menedżer	55000	26250	93	32	Nie
64	Mężczyzna	37	16	Menedżer	53125	21000	93	48	Nie
65	Mężczyzna	36	8	Urzędnik	21900	14550	93	41	Nie
66	Mężczyzna	38	19	Menedżer	78125	30000	93	7	Nie
67	Mężczyzna	36	16	Menedżer	46000	21240	93	35	Nie
68	Mężczyzna	37	16	Menedżer	45250	21480	93	36	Nie
69	Mężczyzna	40	16	Menedżer	56550	25000	93	34	Nie
70	Mężczyzna	38	15	Urzędnik	41100	20250	93	27	Nie
71	Mężczyzna	52	17	Menedżer	82500	34980	93	207	Nie
72	Kobieta	36	16	Urzędnik	54000	18000	93	11	Nie
73	Kobieta	32	12	Urzędnik	26400	10500	93	0	Nie
74	Kobieta	67	15	Urzędnik	33900	19500	93	192	Nie
75	Kobieta	35	15	Urzędnik	24150	11550	93	0	Nie
76	Kobieta	33	15	Urzędnik	29250	11550	93	11	Nie
77	Kobieta	32	12	Urzędnik	27600	11400	93	6	Nie
78	Kobieta	32	12	Urzędnik	22950	10500	93	10	Nie
79	Kobieta	38	16	Urzędnik	34800	14550	93	8	Nie
